user_id,job_id,interaction_type,timestamp
user_98,job_864,saved,2025-02-20 11:47:58
user_201,job_535,saved,2024-08-17 09:19:44
user_240,job_697,saved,2024-10-14 23:57:13
user_98,job_498,applied,2024-06-09 06:04:20
user_278,job_252,applied,2024-11-18 17:20:59
user_29,job_472,saved,2024-12-30 01:03:54
user_257,job_190,applied,2024-08-13 03:27:06
user_465,job_215,saved,2024-05-10 23:35:34
user_381,job_371,saved,2025-02-06 05:20:52
user_228,job_728,applied,2025-04-12 07:47:25
user_206,job_216,applied,2025-01-29 02:25:32
user_75,job_920,applied,2024-12-28 21:26:31
user_115,job_282,saved,2024-07-13 23:39:51
user_42,job_282,saved,2024-09-29 06:20:22
user_308,job_60,applied,2024-08-04 01:29:52
user_271,job_942,saved,2024-11-05 21:57:03
user_248,job_957,saved,2025-04-19 15:47:47
user_243,job_97,saved,2024-04-26 13:13:34
user_383,job_446,saved,2025-02-25 11:49:15
user_189,job_73,saved,2024-07-29 12:46:36
user_277,job_354,applied,2024-12-05 14:04:42
user_310,job_599,applied,2025-04-18 03:22:05
user_111,job_961,applied,2025-04-23 11:15:44
user_13,job_984,applied,2025-02-23 06:02:51
user_199,job_506,applied,2025-01-19 16:37:35
user_16,job_794,applied,2025-02-05 04:03:12
user_315,job_878,saved,2024-05-14 14:23:35
user_332,job_99,saved,2024-11-11 19:41:29
user_299,job_987,saved,2024-12-22 16:40:39
user_77,job_95,saved,2024-09-27 05:07:59
user_491,job_467,applied,2024-07-05 10:50:06
user_326,job_96,saved,2024-11-15 17:43:11
user_192,job_407,applied,2024-05-22 02:41:21
user_232,job_67,saved,2025-02-05 17:20:35
user_73,job_856,saved,2024-12-10 10:13:22
user_123,job_911,applied,2025-02-10 08:10:38
user_254,job_941,saved,2024-12-23 04:19:48
user_392,job_705,applied,2025-01-15 20:35:25
user_10,job_313,saved,2025-04-06 06:23:39
user_85,job_974,applied,2024-11-27 00:20:26
user_147,job_274,saved,2024-05-10 23:37:12
user_432,job_608,applied,2024-12-16 09:46:20
user_81,job_412,saved,2024-05-05 16:31:55
user_389,job_169,applied,2024-05-31 10:02:02
user_308,job_47,applied,2024-07-07 07:52:23
