id,title,description,location,domain,required_skills,skill_requirements,job_type,duration,required_languages,posted_date,salary_range,employer_id
job_0,Enseignant - Poste Éducation & Formation,Description de l'offre d'emploi 0 dans le domaine Éducation & Formation,Casablanca,Éducation & Formation,"[""Sciences de l'Éducation"", 'Gestion de Formation', 'Édition Pédagogique', 'Instructional Design', 'MOOC']","{""Sciences de l'Éducation"": 3, 'Gestion de Formation': 5, 'Édition Pédagogique': 1, 'Instructional Design': 3, 'MOOC': 3}",Mission ponctuelle,1 an,"['Anglais', 'Français']",2025-04-05,496-1147 MAD/jour,employer_97
job_1,Conseiller Pédagogique - Mission Éducation & Formation,Description de l'offre d'emploi 1 dans le domaine Éducation & Formation,Oujda,Éducation & Formation,"['MOOC', 'Gestion de Formation', 'Instructional Design']","{'MOOC': 3, 'Gestion de Formation': 5, 'Instructional Design': 5}",Freelance,3 mois,"['Anglais', 'Arabe', 'Français']",2025-03-13,626-1489 MAD/jour,employer_61
job_2,Architecte Paysagiste - Mission Architecture,Description de l'offre d'emploi 2 dans le domaine Architecture,Béni Mellal,Architecture,"['BIM', 'Aménagement Urbain', 'Conception Architecturale', 'AutoCAD', 'Rhinoceros 3D', 'Process Optimization']","{'BIM': 1, 'Aménagement Urbain': 5, 'Conception Architecturale': 1, 'AutoCAD': 5, 'Rhinoceros 3D': 4, 'Process Optimization': 1}",Freelance,3 mois,"['Anglais', 'Arabe', 'Français']",2025-03-28,517-1209 MAD/jour,employer_96
job_3,Marketing Automation Expert - Mission Marketing Digital,Description de l'offre d'emploi 3 dans le domaine Marketing Digital,Remote (Maroc),Marketing Digital,"['Conversion Optimization', 'Content Marketing']","{'Conversion Optimization': 3, 'Content Marketing': 2}",Temps partiel,1 semaine,['Français'],2025-03-27,522-1393 MAD/jour,employer_63
job_4,Scrum Master - Mission IT & Développement,Description de l'offre d'emploi 4 dans le domaine IT & Développement,Fès,IT & Développement,"['Cybersécurité', 'SEO', 'DevOps', 'React', 'Contentieux', 'Médiation']","{'Cybersécurité': 2, 'SEO': 5, 'DevOps': 4, 'React': 4, 'Contentieux': 1, 'Médiation': 3}",Contrat,1 semaine,"['Anglais', 'Arabe', 'Français']",2025-04-02,712-1261 MAD/jour,employer_59
job_5,Content Manager - Poste Marketing Digital,Description de l'offre d'emploi 5 dans le domaine Marketing Digital,Settat,Marketing Digital,"['SEO', 'SMM', 'Marketing Strategy', 'Lead Generation']","{'SEO': 3, 'SMM': 5, 'Marketing Strategy': 3, 'Lead Generation': 1}",Contrat,3 mois,['Français'],2025-03-04,465-935 MAD/jour,employer_47
job_6,Responsable Communication Interne - Projet Communication,Description de l'offre d'emploi 6 dans le domaine Communication,Casablanca,Communication,"['Communication de Crise', 'Communication Politique', 'Stratégie de Communication', 'Media Planning', 'Communication Digitale']","{'Communication de Crise': 3, 'Communication Politique': 4, 'Stratégie de Communication': 4, 'Media Planning': 4, 'Communication Digitale': 2}",Contrat,1 semaine,['Français'],2025-03-19,760-1149 MAD/jour,employer_27
job_7,UI/UX Designer - Poste IT & Développement,Description de l'offre d'emploi 7 dans le domaine IT & Développement,Khouribga,IT & Développement,"['Node.js', 'Game Development', 'Angular', 'Vue.js', 'Data Science']","{'Node.js': 5, 'Game Development': 5, 'Angular': 4, 'Vue.js': 1, 'Data Science': 5}",Freelance,1 semaine,[],2025-04-09,509-1233 MAD/jour,employer_78
job_8,Data Engineer - Projet IT & Développement,Description de l'offre d'emploi 8 dans le domaine IT & Développement,Béni Mellal,IT & Développement,"['Mobile Development', 'UI/UX', 'Azure', 'Editing', 'Spanish Translation']","{'Mobile Development': 1, 'UI/UX': 1, 'Azure': 4, 'Editing': 5, 'Spanish Translation': 4}",Mission ponctuelle,1 mois,"['Anglais', 'Arabe', 'Français']",2025-04-16,442-1302 MAD/jour,employer_13
job_9,Architecte Paysagiste - Mission Architecture,Description de l'offre d'emploi 9 dans le domaine Architecture,Agadir,Architecture,"['Rendu 3D', 'Revit']","{'Rendu 3D': 4, 'Revit': 5}",Contrat,6 mois,"['Anglais', 'Arabe']",2025-04-13,476-836 MAD/jour,employer_12
